title,position,requirements
Финансовый аналитик / Data Analyst / BI-аналитик,junior,"['SQL', 'Python', 'Анализ данных', 'Аналитическое мышление', 'MS PowerPoint', 'Бизнес-анализ', 'Работа с большим объемом информации', 'Работа с базами данных', 'Финансовая отчетность', 'Анализ рынка', 'Опыт работы в роли финансового или BI-аналитика от 2–3 лет. Отличное владение Excel, SQL и BI-инструментами (Power BI, Tableau и др.). Навыки прогнозирования, построения финансовых моделей и анализа больших массивов данных. Базовые знания Data Science (Python будет преимуществом). Английский язык — от Intermediate (желательно). Внимательность, системное мышление, ориентация на результат Навыки анализа больших данных и построения прогнозных моделей.']"
Data analyst ( Мiddle/Middle+ ),middle,"['Data Science', 'SQL', 'Hive', 'PostgreSQL', 'Greenplum', 'Python', 'pandas', 'Polars', 'SciPy', 'Numpy', 'Matplotlib', 'Seaborn', 'Plotly', 'Bokeh']"
Middle Data Analyst,middle,"['Python', 'SQL', 'Анализ данных', 'Power BI']"
"Аналитик данных (Маркетинг-аналитика, Marketing Data Analyst)",middle,[]
Менеджер-аналитик данных,intern,"['SQL', 'JSON', 'MS SQL', 'Основы баз данных']"
Аналитик данных,middle,"['SQL', 'Работа с большим объемом информации', 'Математическая статистика', 'Бизнес-анализ', '3+ лет опыта работы аналитиком (желательно в IT-продукте с большими объёмами данных); Уверенное владение SQL (продвинутый уровень); Опыт визуализации данных, создания дашбордов и отчётов; Знания статистики и аналитических методов; Опыт работы с BI-инструментами: Tableau (обязательно), Amplitude; Будет плюсом: навыки дата-инженерии (построение витрин/слоёв данных, работа с пайплайнами); навыки бизнес-аналитики: умение собирать требования, структурировать их, документировать процессы и помогать заказчикам формулировать задачу; Google BigQuery, Python.']"
Аналитик данных,middle,"['SQL', 'Работа с большим объемом информации', 'Математическая статистика', 'Бизнес-анализ', '3+ лет опыта работы аналитиком (желательно в IT-продукте с большими объёмами данных); Уверенное владение SQL (продвинутый уровень); Опыт визуализации данных, создания дашбордов и отчётов; Знания статистики и аналитических методов; Опыт работы с BI-инструментами: Tableau (обязательно), Amplitude; Будет плюсом: навыки дата-инженерии (построение витрин/слоёв данных, работа с пайплайнами); навыки бизнес-аналитики: умение собирать требования, структурировать их, документировать процессы и помогать заказчикам формулировать задачу; Google BigQuery, Python.']"
Аналитик данных,intern,"['Уверенное знание SQL; Высшее образование; Будет плюсом: умение работать с Olap-кубами, знание SSRS и SSAS, владение MDX и python.']"
Ведущий аналитик данных / Data Analyst,senior,"['MS Excel', 'Анализ данных', 'Python', 'SQL', 'Медицинские информационные системы', 'Лабораторные данные', 'Обучение персонала', 'Внедрение и оптимизация системы ЛИМ/МИС']"
Senior Data Analyst,senior,"['PyLibraries', 'SQL', 'Python', 'Exсel', 'A/B тесты']"
Data Analyst,middle,"['1C: Бухгалтерия', '1C: Зарплата и кадры', 'PostgreSQL', 'Python', 'SQL', 'MS SQL', 'Аналитика продаж', 'Формирование аналитической отчетности', 'Финансовые показатели', 'Разработка и внедрение KPI', 'Контроль сотрудников', 'Управление стейкхолдерами', 'Визуализация данных', 'Анализ данных']"
Data analyst (офис),junior,"['\u200b\u200b\u200b\u200b\u200b\u200b\u200bОпыт работы в крупной компании от 2-х лет Знание SQL Знание одной или несколько технологий: Java Spring, Apache Spark, Kafka, Postgres Знание принципов построения современной ИТ-архитектуры Опыт участия в проектах и задачах, связанных с выводом решений в промышленную эксплуатацию Понимание как работают высоконагруженные сервисы.']"
Аналитик данных,middle,"['SQL', 'Python', 'Apache Airflow']"
Аналитик данных (Data Analyst / дата-аналитик),middle,"['SQL', 'Python', 'Анализ данных']"
Специалист по углубленной аналитике данных (Data scientist),junior,"['SPSS', 'Статистический анализ', 'Statistica', 'Аналитические исследования', 'Маркетинговый анализ', 'Прогнозирование', 'Математическая статистика', 'SQL', 'Анализ бизнес показателей', 'Методы машинного обучения', 'Английский язык', 'Machine Learning', 'Data Science', 'Data Analysis', 'Data Mining', 'Big Data', 'R-language', 'Python', 'R']"
Аналитик данных (в офисе),intern,[]
Специалист по работе с таблицами/ аналитик данных/ администратор базы данных,intern,"['MS Excel', 'Внимательность', 'Стрессоустойчивость', 'Пунктуальность', 'Педантичность', 'Работа в команде', 'Знание устройства автомобиля', 'знание устройства автомобиля быстрая обучаемость уверенное пользование ПК и интернет', 'Условия: Своевременная заработная плата – оклад + премия Современный офис в центре города (чай, кофе) Оборудованное рабочее место в офисе.', 'Крайне важны следующие качества:', 'высокий уровень самодисциплины; усидчивость; внимательность; ответственность; исполнительность; точность в мелочах. Большим плюсом будет знание английского языка.', 'Если вы амбициозны, ориентированы на результат и готовы вместе с нами расти и развиваться, то ждем ваш отклик и сопроводительное письмо, в котором вы обязательно укажете, какой суперсилой вы хотели бы обладать.', 'Мы ценим личное время и пространство, поэтому для первого контакта используем Телеграм. Если Вам удобнее какой-либо иной способ связи, укажите, пожалуйста, это в резюме либо сопроводительном письме.', 'Рабочее место планируется к созданию']"
Senior Data Analyst (команда SberCampaigning),senior,[]
Старший аналитик (data analyst / data scientist)в управление планирования и прогнозирования,senior,"['Анализ данных', 'Аналитическое мышление', 'Статистический анализ', 'SQL', 'Python', 'MS Excel', 'Olap (online analytical processing)']"
Стажер аналитик данных,junior,[]
Аналитик данных,middle,"['SQL', 'Маркетинговые метрики', 'Python']"
Аналитик данных,middle,[]
Аналитик данных / склад логистика,junior,"['Высшее образование в сфере информационных технологий, математики, экономики или прикладной аналитики Знание программ MS Excel (Power Query, Power Pivot) Знание языков программирования Python (Pandas, Numpy, PySpark) SQL (PostgreSQL, SQL Server) Аналитический склад ума, внимательность к деталям, коммуникабельность, целеустремленность и настойчивость, ответственность, креативность, эмоциональная устойчивость, желание развиваться']"
Data analyst,middle,[]
Аналитик данных на маркетплейсах,junior,"['Прогнозирование спроса', 'Планирование продаж', 'динамическое ценообразование', 'ML-моделирование', 'Анализ данных', 'Бизнес-анализ', 'SQL', 'Python']"
Senior Data Analyst / Старший эксперт по анализу данных,senior,"['Marketing Mix', 'Эконометрика', 'Математическое моделирование', 'знание теории вероятностей, математической статистики; понимание принципов и ограничений прогнозирования на исторических данных; знание Python (библиотеки для подготовки, разведочного анализа данных и моделирования); уверенное владение SQL (ClickHouse, PostgreSQL, BigQuery и др.); знание Excel, Google Sheets, PowerPoint на уровне продвинутого пользователя; навык самостоятельной постановки исследовательской задачи на основе описания бизнес-задачи; желание искать нестандартные решения для сложных задач; желание изучать закономерности в данных и умение их интерпретировать простым и понятным языком; умение четко и понятно для неспециалиста описывать результаты преобразования данных и оформлять их в виде лаконичных, красивых схем, дашбордов.']"
Intern Data Analyst / Стажер - аналитик данных,intern,[]
"Аналитик данных (e-com) / Бизнес-аналитик WB, Ozon",middle,[]
Lead Finance Data Analyst,senior,[]
Аналитик данных (кампании продаж),junior,"['SQL', 'ORACLE', 'Oracle Pl/SQL', 'Отчетность', 'построение отчетности', 'SAS Guide', 'SAS CIS', 'Teradata', 'Impala', 'Spark', 'Hive', '\u200b\u200b\u200b\u200b\u200b\u200b\u200bОт 2 лет Уверенное знание SQL; Опыт в области бизнес-анализа и/или построения отчетности.', 'Требования, которые будут плюсом:', 'Опыт работы c SAS Guide, SAS CIS, Teradata, Oracle; Опыт работы с большими данными (Impala, Spark, Hive); Знание банковских продуктов корпоративного бизнеса; Базовые знания современных тенденций на рынке AI-технологий']"
