title,position,requirements
Аналитик данных / Data analyst (Аналитика недвижимости),junior,"SQL, Python, Spark, Hadoop"
Аналитик данных,junior,"Аналитика продаж, SQL, Анализ данных, Интерпретация данных, Бизнес-анализ"
Data analyst,middle,"SQL, Анализ данных, Tableau, Python, R"
Аналитик данных(BI разработчик),junior,"Отличное знание SQL: написание эффективных запросов, работа с процедурами, функциями, индексами, партиционированием; Навыки оптимизации SQL-запросов и чтения чужого кода; Аналитическое мышление: умение структурировать данные, выявлять закономерности, формулировать и проверять гипотезы; Будет плюсом: • Базовые знания Python (обработка и анализ данных) • Опыт работы с Apache Superset или аналогичными BI-инструментами • Понимание банковской тематики: платежи, переводы, продукты и архитектура АС Банка • Опыт работы с дополнительными источниками: ELK, Kafka и т.д"
Аналитик данных e-commerce,junior,"Аналитическое мышление, A/B тесты, Работа с большим объемом информации, Анализ данных, Clickhouse, Power BI, Исследовательский анализ данных"
BI аналитик | Middle - Senior,middle,"Опыт работы в аналитике от 2-х лет; Обязателен опыт работы с low-code платформами, настройки платформ под реалии и задачи заказчика; Обязателен опыт работы с BI в части настройки и конфигурации отчетности; Обязателен опыт работы c PostgeSQL, json. Опыт реализации большого объема отчетности на low-code платформе. Опыт выстраивания взаимодействия внутри команды, с заказчиками и с другими командами; Знание видов требований, опыт сбора и анализа различных требований; Опыт моделирования систем и работа с нотациями BPMN или UML; Знание систем управления задачами (Jira, Redmine и т.п.); Знание методологий управления проектами, таких как Agile, Scrum, Kanban, и их применение в контексте аналитики."
Аналитик данных PowerBI,junior,"SQL, Анализ данных, Power BI, Опыт работы с PowerBI Хорошее знание SQL Уверенный пользователь гугл-таблиц Оперативность Ответственность Коммуникабельность"
Эксперт/Senior эксперт Ценовой центр (Data Scientist),senior,"PD, Python, SQL, Git, Математическое моделирование, ИЦБ"
Ведущий Data Scientist (BI-аналитик),senior,"MS Power BI, DataEnginer, дашборд, SQL, Python, Работа с системами аналитики"
Главный специалист по бизнес-аналитике (BI) в коммерческом управлении,senior,"MS PowerPoint, Исследовательский анализ данных, Power BI, Подготовка презентаций, Визуализация данных, Power Query, Бизнес-анализ"
Аналитик данных,middle,"Анализ данных, Аналитическое мышление, Power BI, JavaScript, Python, Power Pivot, Высшее образование (экономика, финансы, бизнес-аналитика, прикладная математика, ИТ). Опыт работы: от 3 до 6 лет в роли финансового аналитика, бизнес-аналитика, специалиста по отчетности. Отличное знание Excel (в т.ч. макросы, Power Query, Power Pivot), 1С 8.3, Power BI. Желателен опыт в Python, Java, JavaScript — для автоматизации и обработки данных. Умение обрабатывать большие массивы информации, высокая внимательность. Системное мышление, аналитический склад ума, умение делать выводы."
Аналитик бизнес-процессов/Бизнес-аналитик/Senior,senior,"Опыт работы в роли бизнес-аналитика от 5 лет, описания процессов в BPMN-нотации. Понимание методологии оптимизации бизнес-процессов - Lean, Kaizen. Знание продуктового подхода, основ Scrum, Kanban. Опыт работы с CJM, EJM., Мы предлагаем:, Удаленный или гибридный формат работы; Белую заработную плату, оформление согласно Трудовому кодексу РФ; Комфортный старт: 3 месяца плавного погружения под присмотром HR; Поддержку: IT-отсрочку и консультации HR/юристов; Прозрачные процессы и открытую коммуникацию; Работу на лучшем оборудовании без логирования времени, с фокусом на доверии и результате; ДМС: медицинское страхование за счет компании; Развитие: индивидуальный план обучения, посещение конференций и митапов, поддержка в развитии карьеры; Личный бренд: возможность выступать на конференциях, митапах, публикация статей; Бенефиты: ежеквартальное обновление корпоративных скидок; Движ: организация вечеринок оффлайн и онлайн, предоставление мерча, проведение конкурсов и челленджей., Откликайтесь, будем рады познакомиться лично!"
Ведущий аналитик данных,senior,"SQL, Анализ данных, HTTP, REST API, Аналитическое мышление"
Специалист по данным рынка облигаций,junior,"MS Excel, Английский язык, Работа с большим объемом информации"
Аналитик данных,junior,"MS Excel, Извлечение данных, Формирование аналитической отчетности, Предобработка данных, Аналитические исследования, Деловая коммуникация, Деловая переписка, Сбор и анализ информации, Работа с базами данных, Работа с большим объемом информации, Опыт работы в закупках, логистике от 2-лет; Уверенный пользователь Excel, знание формул (ВПР, СуммЕсли и проч.), умение работать со сводными таблицами; Умение справляться с большим потоком информации и документооборотом., Что предлагаем:, Работа в компании с устойчивым развитием и перспективами роста; Оформление в соответствии с ТК РФ, ""белая"" зарплата, с выплатами 2 раза в месяц; Полноценное обучение и введение в должность с опытным наставником; График работы: понедельник – четверг с 9.00 до 18.00, пятница с 9.00 до 16.30; Профессиональный и дружный коллектив."
Аналитик по управлению данными (data governance),middle,"SQL, Python, Data Governance"
Аналитик данных,middle,"Бизнес-анализ, SQL, Power BI, DWH, 1С, Анализ данных, Визуализация данных"
Ведущий аналитик/ Руководитель отдела анализа данных,senior,"Аналитическое мышление, Анализ данных, Бизнес-анализ, Работа с большим объемом информации, MS SQL, Python, Умение работать в коллективе, Автоматизация процессов, MS Excel, Умение принимать решения, Проведение презентаций, Сбор и анализ информации, Работа с базами данных, Точность и внимательность к деталям, 1С, Power Query"
Аналитик данных,intern,"MS Excel, Аналитическое мышление, Формирование аналитической отчетности, Предобработка данных, Стрессоустойчивость, Работа с большим объемом информации, навыки работы в MS Excel (продвинутый пользователь); умение работать с большим объёмом информации; аналитический склад ума; стрессоустойчивость"
